Location,Latitude,Longitude
r1,34.93,-101.78
r2,34.61,-101.78
r3,35.05,-101.74
r4,34.73,-101.74
r5,35.17,-101.7
r6,34.85,-101.7
r7,34.53,-101.7
r8,34.97,-101.66
r9,34.65,-101.66
r10,35.09,-101.62
r11,34.77,-101.62
r12,34.45,-101.62
r13,34.89,-101.58
r14,34.57,-101.58
r15,35.01,-101.54
r16,34.69,-101.54
r17,35.13,-101.5
r18,34.81,-101.5
r19,34.49,-101.5
r20,34.93,-101.46
r21,34.61,-101.46
r22,35.05,-101.42
r23,34.73,-101.42
r24,35.17,-101.38
r25,34.85,-101.38
r26,34.53,-101.38
r27,34.97,-101.34
r28,34.65,-101.34
r29,35.09,-101.3
r30,34.77,-101.3
r31,34.45,-101.3
r32,34.89,-101.26
r33,34.57,-101.26
r34,35.01,-101.22
r35,34.69,-101.22
r36,35.13,-101.18
r37,34.81,-101.18
r38,34.49,-101.18
r39,34.93,-101.14
r40,34.61,-101.14
r41,35.05,-101.1
r42,34.73,-101.1
r43,35.17,-101.06
r44,34.85,-101.06
r45,34.53,-101.06
r46,34.97,-101.02
r47,34.65,-101.02
r48,35.09,-100.98
r49,34.77,-100.98
r50,34.45,-100.98
r51,34.21,-101.58
r52,33.77,-101.58
r53,33.33,-101.58
r54,34.01,-101.54
r55,33.57,-101.54
r56,33.13,-101.54
r57,34.25,-101.5
r58,33.81,-101.5
r59,33.37,-101.5
r60,34.05,-101.46
r61,33.61,-101.46
r62,33.17,-101.46
r63,34.29,-101.42
r64,33.85,-101.42
r65,33.41,-101.42
r66,34.09,-101.38
r67,33.65,-101.38
r68,33.21,-101.38
r69,34.33,-101.34
r70,33.89,-101.34
r71,33.45,-101.34
r72,34.13,-101.3
r73,33.69,-101.3
r74,33.25,-101.3
r75,34.37,-101.26
r76,33.93,-101.26
r77,33.49,-101.26
r78,34.17,-101.22
r79,33.73,-101.22
r80,33.29,-101.22
r81,33.97,-101.18
r82,33.53,-101.18
r83,34.21,-101.14
r84,33.77,-101.14
r85,33.33,-101.14
r86,34.01,-101.1
r87,33.57,-101.1
r88,33.13,-101.1
r89,34.25,-101.06
r90,33.81,-101.06
r91,33.37,-101.06
r92,34.05,-101.02
r93,33.61,-101.02
r94,33.17,-101.02
r95,34.29,-100.98
r96,33.85,-100.98
r97,33.41,-100.98
r98,34.09,-100.94
r99,33.65,-100.94
r100,33.21,-100.94
r101,35.13,-102.5
r102,34.85,-102.5
r103,34.57,-102.5
r104,35.01,-102.46
r105,34.73,-102.46
r106,34.45,-102.46
r107,34.89,-102.42
r108,34.61,-102.42
r109,35.05,-102.38
r110,34.77,-102.38
r111,34.49,-102.38
r112,34.93,-102.34
r113,34.65,-102.34
r114,35.09,-102.3
r115,34.81,-102.3
r116,34.53,-102.3
r117,34.97,-102.26
r118,34.69,-102.26
r119,35.13,-102.22
r120,34.85,-102.22
r121,34.57,-102.22
r122,35.01,-102.18
r123,34.73,-102.18
r124,34.45,-102.18
r125,34.89,-102.14
r126,34.61,-102.14
r127,35.05,-102.1
r128,34.77,-102.1
r129,34.49,-102.1
r130,34.93,-102.06
r131,34.65,-102.06
r132,35.09,-102.02
r133,34.81,-102.02
r134,34.53,-102.02
r135,34.97,-101.98
r136,34.69,-101.98
r137,35.13,-101.94
r138,34.85,-101.94
r139,34.57,-101.94
r140,35.01,-101.9
r141,34.73,-101.9
r142,34.45,-101.9
r143,34.89,-101.86
r144,34.61,-101.86
r145,35.05,-101.82
r146,34.77,-101.82
r147,34.49,-101.82
r148,34.37,-102.58
r149,33.93,-102.58
r150,33.49,-102.58
r151,34.17,-102.54
r152,33.73,-102.54
r153,33.29,-102.54
r154,33.97,-102.5
r155,33.53,-102.5
r156,34.21,-102.46
r157,33.77,-102.46
r158,33.33,-102.46
r159,34.01,-102.42
r160,33.57,-102.42
r161,33.13,-102.42
r162,34.25,-102.38
r163,33.81,-102.38
r164,33.37,-102.38
r165,34.05,-102.34
r166,33.61,-102.34
r167,33.17,-102.34
r168,34.29,-102.3
r169,33.85,-102.3
r170,33.41,-102.3
r171,34.09,-102.26
r172,33.65,-102.26
r173,33.21,-102.26
r174,34.33,-102.22
r175,33.89,-102.22
r176,33.45,-102.22
r177,34.13,-102.18
r178,33.69,-102.18
r179,33.25,-102.18
r180,34.37,-102.14
r181,33.93,-102.14
r182,33.49,-102.14
r183,34.17,-102.1
r184,33.73,-102.1
r185,33.29,-102.1
r186,33.97,-102.06
r187,33.53,-102.06
r188,34.21,-102.02
r189,33.77,-102.02
r190,33.33,-102.02
r191,34.01,-101.98
r192,33.57,-101.98
r193,33.13,-101.98
r194,34.25,-101.94
r195,33.81,-101.94
r196,33.37,-101.94
r197,34.05,-101.9
r198,33.61,-101.9
r199,33.17,-101.9
r200,34.29,-101.86
ru1,33.3,-102.15
ru2,33.2,-101.2
ru3,34.84,-101.8
ru4,34.7,-101.58
ru5,34.9,-101.372
ru6,34.6,-101.22
ru7,34.9,-101.036
ru8,33.4,-101.532
ru9,33.75,-101.4
ru10,33.75,-101.268
ru11,33.758,-101.12
ru12,33.67,-100.988
ru13,34.806,-102.448
ru14,34.8,-102.292
ru15,34.75,-102.14
ru16,35.1,-101.65
ru17,34.478,-102.072
ru18,33.758,-102.484
ru19,33.694,-102.348
ru20,34.3,-102.25
ru21,33.742,-102.076
ru22,34.18,-101.34
j1,34,-101.8
j2,33.5,-101.7
j3,35,-102.6
j4,33.75,-101.75
j5,33,-102.63
j6,35,-100.8
j7,34,-102.7
j8,33,-100.8
j9,34,-100.8
