Location,Latitude,Longitude
r1,35.276799, -101.674085
r2,35.236282, -101.654383
r3,35.236282, -101.890810
r4,35.155246, -101.674085
r5,35.195764, -101.871108
r6,35.195764, -101.851406
r7,35.216023, -101.752894
r8,35.195764, -101.890810
r9,35.216023, -101.851406
r10,35.236282, -101.674085
r11,35.276799, -101.910512
r12,35.276799, -101.930215
r13,35.216023, -101.871108
r14,35.276799, -101.851406
r15,35.256541, -101.871108
r16,35.216023, -101.772597
r17,35.297058, -101.930215
r18,35.317317, -101.910512
r19,35.317317, -101.930215
r20,35.297058, -101.910512
ru,35.35, -101.79
j1,35.19, -101.67
j2,35.29, -101.73
j3,35.33, -101.67
j4,35.35784, -101.95
j5,35.1, -101.69
j6,35.23, -101.95
j7,35.15, -101.7
j8,35.357835, -101.871108
